Registration ID,Year,Month,County,Registration type,Engine type,Car registration count
84,2019,March,Leitrim,New Irish Registrations,Electric,1
85,2019,April,Leitrim,New Irish Registrations,Electric,3
86,2019,May,Leitrim,New Irish Registrations,Electric,1
87,2019,September,Leitrim,New Irish Registrations,Electric,1
88,2019,January,Leitrim,New Irish Registrations,Hybrid,7
89,2019,February,Leitrim,New Irish Registrations,Hybrid,6
90,2019,March,Leitrim,New Irish Registrations,Hybrid,2
91,2019,April,Leitrim,New Irish Registrations,Hybrid,4
92,2019,May,Leitrim,New Irish Registrations,Hybrid,2
93,2019,June,Leitrim,New Irish Registrations,Hybrid,2
94,2019,July,Leitrim,New Irish Registrations,Hybrid,7
95,2019,August,Leitrim,New Irish Registrations,Hybrid,4
96,2019,January,Leitrim,Used Imports,Hybrid,1
97,2019,February,Leitrim,Used Imports,Hybrid,4
98,2019,March,Leitrim,Used Imports,Hybrid,2
99,2019,May,Leitrim,Used Imports,Hybrid,1
100,2019,July,Leitrim,Used Imports,Hybrid,2
101,2019,August,Leitrim,Used Imports,Hybrid,1
102,2019,January,Mayo,New Irish Registrations,Non electric,590
103,2019,February,Mayo,New Irish Registrations,Non electric,242
104,2019,March,Mayo,New Irish Registrations,Non electric,212
105,2019,April,Mayo,New Irish Registrations,Non electric,69
106,2019,May,Mayo,New Irish Registrations,Non electric,55
107,2019,June,Mayo,New Irish Registrations,Non electric,7
108,2019,July,Mayo,New Irish Registrations,Non electric,354
109,2019,August,Mayo,New Irish Registrations,Non electric,97
110,2019,September,Mayo,New Irish Registrations,Non electric,44
111,2019,October,Mayo,New Irish Registrations,Non electric,22
112,2019,July,Mayo,New Imports,Non electric,1
113,2019,January,Mayo,Used Imports,Non electric,226
114,2019,February,Mayo,Used Imports,Non electric,223
115,2019,March,Mayo,Used Imports,Non electric,223
116,2019,April,Mayo,Used Imports,Non electric,230
117,2019,May,Mayo,Used Imports,Non electric,271
118,2019,June,Mayo,Used Imports,Non electric,209
119,2019,July,Mayo,Used Imports,Non electric,249
120,2019,August,Mayo,Used Imports,Non electric,258
121,2019,September,Mayo,Used Imports,Non electric,276
122,2019,October,Mayo,Used Imports,Non electric,338
123,2019,January,Mayo,New Irish Registrations,Electric,14
124,2019,February,Mayo,New Irish Registrations,Electric,2
125,2019,March,Mayo,New Irish Registrations,Electric,3
126,2019,April,Mayo,New Irish Registrations,Electric,4
127,2019,May,Mayo,New Irish Registrations,Electric,1
128,2019,July,Mayo,New Irish Registrations,Electric,5
129,2019,August,Mayo,New Irish Registrations,Electric,2
130,2019,September,Mayo,New Irish Registrations,Electric,1
131,2019,October,Mayo,New Irish Registrations,Electric,1
132,2019,January,Mayo,Used Imports,Electric,2
133,2019,July,Mayo,Used Imports,Electric,1
134,2019,August,Mayo,Used Imports,Electric,1
135,2019,October,Mayo,Used Imports,Electric,2
136,2019,January,Mayo,New Irish Registrations,Hybrid,41
137,2019,February,Mayo,New Irish Registrations,Hybrid,38
138,2019,March,Mayo,New Irish Registrations,Hybrid,32
139,2019,April,Mayo,New Irish Registrations,Hybrid,29
140,2019,May,Mayo,New Irish Registrations,Hybrid,5
141,2019,July,Mayo,New Irish Registrations,Hybrid,37
142,2019,August,Mayo,New Irish Registrations,Hybrid,8
143,2019,September,Mayo,New Irish Registrations,Hybrid,6
144,2019,October,Mayo,New Irish Registrations,Hybrid,5
145,2019,January,Mayo,Used Imports,Hybrid,8
146,2019,February,Mayo,Used Imports,Hybrid,9
147,2019,March,Mayo,Used Imports,Hybrid,4
148,2019,April,Mayo,Used Imports,Hybrid,4
149,2019,May,Mayo,Used Imports,Hybrid,4
150,2019,June,Mayo,Used Imports,Hybrid,3
151,2019,July,Mayo,Used Imports,Hybrid,8
152,2019,August,Mayo,Used Imports,Hybrid,15
153,2019,September,Mayo,Used Imports,Hybrid,6
154,2019,October,Mayo,Used Imports,Hybrid,12
155,2019,January,Roscommon,New Irish Registrations,Non electric,290
156,2019,February,Roscommon,New Irish Registrations,Non electric,87
157,2019,March,Roscommon,New Irish Registrations,Non electric,101
158,2019,April,Roscommon,New Irish Registrations,Non electric,50
159,2019,May,Roscommon,New Irish Registrations,Non electric,22
160,2019,June,Roscommon,New Irish Registrations,Non electric,7
161,2019,July,Roscommon,New Irish Registrations,Non electric,147
162,2019,August,Roscommon,New Irish Registrations,Non electric,37
163,2019,September,Roscommon,New Irish Registrations,Non electric,17
164,2019,October,Roscommon,New Irish Registrations,Non electric,9
165,2019,January,Roscommon,New Imports,Non electric,1
166,2019,January,Roscommon,Used Imports,Non electric,141
167,2019,February,Roscommon,Used Imports,Non electric,128
168,2019,March,Roscommon,Used Imports,Non electric,126
169,2019,April,Roscommon,Used Imports,Non electric,105
170,2019,May,Roscommon,Used Imports,Non electric,130
171,2019,June,Roscommon,Used Imports,Non electric,115
172,2019,July,Roscommon,Used Imports,Non electric,127
173,2019,August,Roscommon,Used Imports,Non electric,157
174,2019,September,Roscommon,Used Imports,Non electric,107
175,2019,October,Roscommon,Used Imports,Non electric,141
176,2019,January,Roscommon,New Irish Registrations,Electric,7
177,2019,February,Roscommon,New Irish Registrations,Electric,2
178,2019,July,Roscommon,New Irish Registrations,Electric,5
179,2019,October,Roscommon,New Irish Registrations,Electric,2
180,2019,January,Roscommon,Used Imports,Electric,1
181,2019,February,Roscommon,Used Imports,Electric,1
182,2019,March,Roscommon,Used Imports,Electric,1
183,2019,August,Roscommon,Used Imports,Electric,1
184,2019,October,Roscommon,Used Imports,Electric,1
185,2019,January,Roscommon,New Irish Registrations,Hybrid,26
186,2019,February,Roscommon,New Irish Registrations,Hybrid,20
187,2019,March,Roscommon,New Irish Registrations,Hybrid,31
188,2019,April,Roscommon,New Irish Registrations,Hybrid,26
189,2019,May,Roscommon,New Irish Registrations,Hybrid,4
190,2019,June,Roscommon,New Irish Registrations,Hybrid,1
191,2019,July,Roscommon,New Irish Registrations,Hybrid,28
192,2019,August,Roscommon,New Irish Registrations,Hybrid,4
193,2019,September,Roscommon,New Irish Registrations,Hybrid,2
194,2019,October,Roscommon,New Irish Registrations,Hybrid,2
195,2019,January,Roscommon,Used Imports,Hybrid,1
196,2019,February,Roscommon,Used Imports,Hybrid,1
197,2019,April,Roscommon,Used Imports,Hybrid,1
198,2019,June,Roscommon,Used Imports,Hybrid,1
199,2019,July,Roscommon,Used Imports,Hybrid,4
200,2019,August,Roscommon,Used Imports,Hybrid,3
201,2019,September,Roscommon,Used Imports,Hybrid,1
202,2019,October,Roscommon,Used Imports,Hybrid,3
203,2019,January,Sligo,New Irish Registrations,Non electric,317
204,2019,February,Sligo,New Irish Registrations,Non electric,109
205,2019,March,Sligo,New Irish Registrations,Non electric,134
206,2019,April,Sligo,New Irish Registrations,Non electric,42
207,2019,May,Sligo,New Irish Registrations,Non electric,31
208,2019,June,Sligo,New Irish Registrations,Non electric,3
209,2019,July,Sligo,New Irish Registrations,Non electric,208
210,2019,August,Sligo,New Irish Registrations,Non electric,37
211,2019,September,Sligo,New Irish Registrations,Non electric,22
212,2019,October,Sligo,New Irish Registrations,Non electric,18
213,2019,January,Sligo,Used Imports,Non electric,108
214,2019,February,Sligo,Used Imports,Non electric,118
215,2019,March,Sligo,Used Imports,Non electric,97
216,2019,April,Sligo,Used Imports,Non electric,105
217,2019,May,Sligo,Used Imports,Non electric,138
218,2019,June,Sligo,Used Imports,Non electric,87
219,2019,July,Sligo,Used Imports,Non electric,123
220,2019,August,Sligo,Used Imports,Non electric,126
221,2019,September,Sligo,Used Imports,Non electric,122
222,2019,October,Sligo,Used Imports,Non electric,128
223,2019,January,Sligo,New Irish Registrations,Electric,4
224,2019,February,Sligo,New Irish Registrations,Electric,3
225,2019,March,Sligo,New Irish Registrations,Electric,1
226,2019,April,Sligo,New Irish Registrations,Electric,2
227,2019,May,Sligo,New Irish Registrations,Electric,1
228,2019,July,Sligo,New Irish Registrations,Electric,6
229,2019,August,Sligo,New Irish Registrations,Electric,2
230,2019,September,Sligo,New Irish Registrations,Electric,1
231,2019,October,Sligo,New Irish Registrations,Electric,1
232,2019,January,Sligo,Used Imports,Electric,2
233,2019,February,Sligo,Used Imports,Electric,1
234,2019,March,Sligo,Used Imports,Electric,1
235,2019,April,Sligo,Used Imports,Electric,1
236,2019,May,Sligo,Used Imports,Electric,1
237,2019,August,Sligo,Used Imports,Electric,1
238,2019,January,Sligo,New Irish Registrations,Hybrid,29
239,2019,February,Sligo,New Irish Registrations,Hybrid,12
240,2019,March,Sligo,New Irish Registrations,Hybrid,9
241,2019,April,Sligo,New Irish Registrations,Hybrid,19
242,2019,May,Sligo,New Irish Registrations,Hybrid,7
243,2019,June,Sligo,New Irish Registrations,Hybrid,5
244,2019,July,Sligo,New Irish Registrations,Hybrid,19
245,2019,August,Sligo,New Irish Registrations,Hybrid,4
246,2019,September,Sligo,New Irish Registrations,Hybrid,1
247,2019,October,Sligo,New Irish Registrations,Hybrid,1
248,2019,January,Sligo,Used Imports,Hybrid,2
249,2019,February,Sligo,Used Imports,Hybrid,2
250,2019,March,Sligo,Used Imports,Hybrid,5
251,2019,April,Sligo,Used Imports,Hybrid,6
252,2019,May,Sligo,Used Imports,Hybrid,2
253,2019,June,Sligo,Used Imports,Hybrid,3
254,2019,July,Sligo,Used Imports,Hybrid,5
255,2019,August,Sligo,Used Imports,Hybrid,1
256,2019,September,Sligo,Used Imports,Hybrid,6
257,2019,October,Sligo,Used Imports,Hybrid,4
258,2019,January,Carlow,New Irish Registrations,Non electric,369
259,2019,February,Carlow,New Irish Registrations,Non electric,124
260,2019,March,Carlow,New Irish Registrations,Non electric,154
261,2019,April,Carlow,New Irish Registrations,Non electric,68
262,2019,May,Carlow,New Irish Registrations,Non electric,45
263,2019,June,Carlow,New Irish Registrations,Non electric,3
264,2019,July,Carlow,New Irish Registrations,Non electric,240
265,2019,August,Carlow,New Irish Registrations,Non electric,41
266,2019,September,Carlow,New Irish Registrations,Non electric,34
267,2019,October,Carlow,New Irish Registrations,Non electric,7
268,2019,January,Carlow,Used Imports,Non electric,82
269,2019,February,Carlow,Used Imports,Non electric,79
270,2019,March,Carlow,Used Imports,Non electric,77
271,2019,April,Carlow,Used Imports,Non electric,89
272,2019,May,Carlow,Used Imports,Non electric,74
273,2019,June,Carlow,Used Imports,Non electric,81
274,2019,July,Carlow,Used Imports,Non electric,66
275,2019,August,Carlow,Used Imports,Non electric,66
276,2019,September,Carlow,Used Imports,Non electric,86
277,2019,October,Carlow,Used Imports,Non electric,102
278,2019,January,Carlow,New Irish Registrations,Electric,16
279,2019,February,Carlow,New Irish Registrations,Electric,1
280,2019,March,Carlow,New Irish Registrations,Electric,2
281,2019,April,Carlow,New Irish Registrations,Electric,3
282,2019,May,Carlow,New Irish Registrations,Electric,2
283,2019,July,Carlow,New Irish Registrations,Electric,12
284,2019,August,Carlow,New Irish Registrations,Electric,2
285,2019,October,Carlow,New Irish Registrations,Electric,1
286,2019,January,Carlow,Used Imports,Electric,1
287,2019,October,Carlow,Used Imports,Electric,1
288,2019,January,Carlow,New Irish Registrations,Hybrid,25
289,2019,February,Carlow,New Irish Registrations,Hybrid,12
290,2019,March,Carlow,New Irish Registrations,Hybrid,35
291,2019,April,Carlow,New Irish Registrations,Hybrid,7
292,2019,May,Carlow,New Irish Registrations,Hybrid,4
293,2019,July,Carlow,New Irish Registrations,Hybrid,29
294,2019,August,Carlow,New Irish Registrations,Hybrid,7
295,2019,September,Carlow,New Irish Registrations,Hybrid,1
296,2019,October,Carlow,New Irish Registrations,Hybrid,3
297,2019,January,Carlow,Used Imports,Hybrid,3
298,2019,February,Carlow,Used Imports,Hybrid,5
299,2019,March,Carlow,Used Imports,Hybrid,2
300,2019,April,Carlow,Used Imports,Hybrid,6
301,2019,May,Carlow,Used Imports,Hybrid,2
302,2019,June,Carlow,Used Imports,Hybrid,1
303,2019,July,Carlow,Used Imports,Hybrid,7
304,2019,August,Carlow,Used Imports,Hybrid,2
305,2019,September,Carlow,Used Imports,Hybrid,1
306,2019,October,Carlow,Used Imports,Hybrid,5
307,2019,January,Dublin,New Irish Registrations,Non electric,3
308,2019,February,Dublin,New Irish Registrations,Non electric,5
309,2019,March,Dublin,New Irish Registrations,Non electric,2
310,2019,April,Dublin,New Irish Registrations,Non electric,6
311,2019,May,Dublin,New Irish Registrations,Non electric,2
312,2019,June,Dublin,New Irish Registrations,Non electric,1
313,2019,July,Dublin,New Irish Registrations,Non electric,7
314,2019,August,Dublin,New Irish Registrations,Non electric,2
315,2019,September,Dublin,New Irish Registrations,Non electric,1453
316,2019,October,Dublin,New Irish Registrations,Non electric,867
317,2019,January,Dublin,New Imports,Non electric,10163
318,2019,February,Dublin,New Imports,Non electric,5851
319,2019,March,Dublin,New Imports,Non electric,6866
320,2019,April,Dublin,New Imports,Non electric,3928
321,2019,May,Dublin,New Imports,Non electric,3230
322,2019,June,Dublin,New Imports,Non electric,848
323,2019,July,Dublin,New Imports,Non electric,10081
324,2019,August,Dublin,New Imports,Non electric,1989
325,2019,September,Dublin,New Imports,Non electric,1453
326,2019,October,Dublin,New Imports,Non electric,867
327,2019,January,Dublin,Used Imports,Non electric,10163
328,2019,February,Dublin,Used Imports,Non electric,5851
329,2019,March,Dublin,Used Imports,Non electric,6866
330,2019,April,Dublin,Used Imports,Non electric,3928
331,2019,May,Dublin,Used Imports,Non electric,3230
332,2019,June,Dublin,Used Imports,Non electric,848
333,2019,July,Dublin,Used Imports,Non electric,10081
334,2019,August,Dublin,Used Imports,Non electric,2506
335,2019,September,Dublin,Used Imports,Non electric,2592
336,2019,October,Dublin,Used Imports,Non electric,2861
337,2019,January,Dublin,New Irish Registrations,Electric,318
338,2019,February,Dublin,New Irish Registrations,Electric,159
339,2019,March,Dublin,New Irish Registrations,Electric,154
340,2019,April,Dublin,New Irish Registrations,Electric,149
341,2019,May,Dublin,New Irish Registrations,Electric,74
342,2019,June,Dublin,New Irish Registrations,Electric,32
343,2019,July,Dublin,New Irish Registrations,Electric,282
344,2019,August,Dublin,New Irish Registrations,Electric,84
345,2019,September,Dublin,New Irish Registrations,Electric,66
346,2019,October,Dublin,New Irish Registrations,Electric,153
347,2019,January,Dublin,Used Imports,Electric,28
348,2019,February,Dublin,Used Imports,Electric,18
349,2019,March,Dublin,Used Imports,Electric,24
350,2019,April,Dublin,Used Imports,Electric,17
351,2019,May,Dublin,Used Imports,Electric,17
352,2019,June,Dublin,Used Imports,Electric,23
353,2019,July,Dublin,Used Imports,Electric,23
354,2019,August,Dublin,Used Imports,Electric,16
355,2019,September,Dublin,Used Imports,Electric,39
356,2019,October,Dublin,Used Imports,Electric,46
357,2019,January,Dublin,New Irish Registrations,Hybrid,957
358,2019,February,Dublin,New Irish Registrations,Hybrid,505
359,2019,March,Dublin,New Irish Registrations,Hybrid,711
360,2019,April,Dublin,New Irish Registrations,Hybrid,530
361,2019,May,Dublin,New Irish Registrations,Hybrid,331
362,2019,June,Dublin,New Irish Registrations,Hybrid,99
363,2019,July,Dublin,New Irish Registrations,Hybrid,1197
364,2019,August,Dublin,New Irish Registrations,Hybrid,194
365,2019,September,Dublin,New Irish Registrations,Hybrid,139
366,2019,October,Dublin,New Irish Registrations,Hybrid,110
367,2019,May,Dublin,New Imports,Hybrid,1
368,2019,July,Dublin,New Imports,Hybrid,1
369,2019,January,Dublin,Used Imports,Hybrid,439
370,2019,February,Dublin,Used Imports,Hybrid,467
371,2019,March,Dublin,Used Imports,Hybrid,377
372,2019,April,Dublin,Used Imports,Hybrid,423
373,2019,May,Dublin,Used Imports,Hybrid,521
374,2019,June,Dublin,Used Imports,Hybrid,404
375,2019,July,Dublin,Used Imports,Hybrid,454
376,2019,August,Dublin,Used Imports,Hybrid,453
377,2019,September,Dublin,Used Imports,Hybrid,471
378,2019,October,Dublin,Used Imports,Hybrid,567
379,2019,January,Kildare,New Irish Registrations,Non electric,1269
380,2019,February,Kildare,New Irish Registrations,Non electric,526
381,2019,March,Kildare,New Irish Registrations,Non electric,424
382,2019,April,Kildare,New Irish Registrations,Non electric,223
383,2019,May,Kildare,New Irish Registrations,Non electric,194
384,2019,June,Kildare,New Irish Registrations,Non electric,25
385,2019,July,Kildare,New Irish Registrations,Non electric,754
386,2019,August,Kildare,New Irish Registrations,Non electric,188
387,2019,September,Kildare,New Irish Registrations,Non electric,112
388,2019,October,Kildare,New Irish Registrations,Non electric,48
389,2019,January,Kildare,New Imports,Non electric,1
390,2019,May,Kildare,New Imports,Non electric,2
391,2019,August,Kildare,New Imports,Non electric,1
392,2019,January,Kildare,Used Imports,Non electric,360
393,2019,February,Kildare,Used Imports,Non electric,335
394,2019,March,Kildare,Used Imports,Non electric,356
395,2019,April,Kildare,Used Imports,Non electric,334
396,2019,May,Kildare,Used Imports,Non electric,334
397,2019,June,Kildare,Used Imports,Non electric,317
398,2019,July,Kildare,Used Imports,Non electric,410
399,2019,August,Kildare,Used Imports,Non electric,386
400,2019,September,Kildare,Used Imports,Non electric,426
401,2019,October,Kildare,Used Imports,Non electric,458
402,2019,January,Kildare,New Irish Registrations,Electric,30
403,2019,February,Kildare,New Irish Registrations,Electric,19
404,2019,March,Kildare,New Irish Registrations,Electric,21
405,2019,April,Kildare,New Irish Registrations,Electric,24
406,2019,May,Kildare,New Irish Registrations,Electric,9
407,2019,June,Kildare,New Irish Registrations,Electric,2
408,2019,July,Kildare,New Irish Registrations,Electric,39
409,2019,August,Kildare,New Irish Registrations,Electric,5
410,2019,September,Kildare,New Irish Registrations,Electric,6
411,2019,October,Kildare,New Irish Registrations,Electric,12
412,2019,January,Kildare,Used Imports,Electric,3
413,2019,February,Kildare,Used Imports,Electric,6
414,2019,March,Kildare,Used Imports,Electric,6
415,2019,April,Kildare,Used Imports,Electric,3
416,2019,May,Kildare,Used Imports,Electric,2
417,2019,June,Kildare,Used Imports,Electric,2
418,2019,July,Kildare,Used Imports,Electric,1
419,2019,August,Kildare,Used Imports,Electric,3
420,2019,September,Kildare,Used Imports,Electric,1
421,2019,October,Kildare,Used Imports,Electric,1
422,2019,January,Kildare,New Irish Registrations,Hybrid,98
423,2019,February,Kildare,New Irish Registrations,Hybrid,64
424,2019,March,Kildare,New Irish Registrations,Hybrid,66
425,2019,April,Kildare,New Irish Registrations,Hybrid,30
426,2019,May,Kildare,New Irish Registrations,Hybrid,15
427,2019,June,Kildare,New Irish Registrations,Hybrid,4
428,2019,July,Kildare,New Irish Registrations,Hybrid,153
429,2019,August,Kildare,New Irish Registrations,Hybrid,23
430,2019,September,Kildare,New Irish Registrations,Hybrid,13
431,2019,October,Kildare,New Irish Registrations,Hybrid,11
432,2019,January,Kildare,Used Imports,Hybrid,32
433,2019,February,Kildare,Used Imports,Hybrid,30
434,2019,March,Kildare,Used Imports,Hybrid,25
435,2019,April,Kildare,Used Imports,Hybrid,31
436,2019,May,Kildare,Used Imports,Hybrid,27
437,2019,June,Kildare,Used Imports,Hybrid,18
438,2019,July,Kildare,Used Imports,Hybrid,31
439,2019,August,Kildare,Used Imports,Hybrid,34
440,2019,September,Kildare,Used Imports,Hybrid,31
441,2019,October,Kildare,Used Imports,Hybrid,44
442,2019,January,Kilkenny,New Irish Registrations,Non electric,658
443,2019,February,Kilkenny,New Irish Registrations,Non electric,248
444,2019,March,Kilkenny,New Irish Registrations,Non electric,227
445,2019,April,Kilkenny,New Irish Registrations,Non electric,137
446,2019,May,Kilkenny,New Irish Registrations,Non electric,76
447,2019,June,Kilkenny,New Irish Registrations,Non electric,5
448,2019,July,Kilkenny,New Irish Registrations,Non electric,340
449,2019,August,Kilkenny,New Irish Registrations,Non electric,74
450,2019,September,Kilkenny,New Irish Registrations,Non electric,35
451,2019,October,Kilkenny,New Irish Registrations,Non electric,26
452,2019,January,Kilkenny,Used Imports,Non electric,154
453,2019,February,Kilkenny,Used Imports,Non electric,107
454,2019,March,Kilkenny,Used Imports,Non electric,115
455,2019,April,Kilkenny,Used Imports,Non electric,141
456,2019,May,Kilkenny,Used Imports,Non electric,131
457,2019,June,Kilkenny,Used Imports,Non electric,97
458,2019,July,Kilkenny,Used Imports,Non electric,125
459,2019,August,Kilkenny,Used Imports,Non electric,138
460,2019,September,Kilkenny,Used Imports,Non electric,163
461,2019,October,Kilkenny,Used Imports,Non electric,175
462,2019,January,Kilkenny,New Irish Registrations,Electric,15
463,2019,February,Kilkenny,New Irish Registrations,Electric,2
464,2019,March,Kilkenny,New Irish Registrations,Electric,3
465,2019,April,Kilkenny,New Irish Registrations,Electric,5
466,2019,May,Kilkenny,New Irish Registrations,Electric,3
467,2019,July,Kilkenny,New Irish Registrations,Electric,13
468,2019,August,Kilkenny,New Irish Registrations,Electric,6
469,2019,September,Kilkenny,New Irish Registrations,Electric,3
470,2019,October,Kilkenny,New Irish Registrations,Electric,7
471,2019,September,Kilkenny,Used Imports,Electric,1
472,2019,October,Kilkenny,Used Imports,Electric,2
473,2019,January,Kilkenny,New Irish Registrations,Hybrid,44
474,2019,February,Kilkenny,New Irish Registrations,Hybrid,17
475,2019,March,Kilkenny,New Irish Registrations,Hybrid,23
476,2019,April,Kilkenny,New Irish Registrations,Hybrid,30
477,2019,May,Kilkenny,New Irish Registrations,Hybrid,9
478,2019,June,Kilkenny,New Irish Registrations,Hybrid,1
479,2019,July,Kilkenny,New Irish Registrations,Hybrid,36
480,2019,August,Kilkenny,New Irish Registrations,Hybrid,6
481,2019,September,Kilkenny,New Irish Registrations,Hybrid,5
482,2019,October,Kilkenny,New Irish Registrations,Hybrid,2
483,2019,January,Kilkenny,Used Imports,Hybrid,9
484,2019,February,Kilkenny,Used Imports,Hybrid,8
485,2019,March,Kilkenny,Used Imports,Hybrid,4
486,2019,April,Kilkenny,Used Imports,Hybrid,9
487,2019,May,Kilkenny,Used Imports,Hybrid,3
488,2019,June,Kilkenny,Used Imports,Hybrid,3
489,2019,July,Kilkenny,Used Imports,Hybrid,6
490,2019,August,Kilkenny,Used Imports,Hybrid,6
491,2019,September,Kilkenny,Used Imports,Hybrid,5
492,2019,October,Kilkenny,Used Imports,Hybrid,5
493,2019,January,Longford,New Irish Registrations,Non electric,149
494,2019,February,Longford,New Irish Registrations,Non electric,57
495,2019,March,Longford,New Irish Registrations,Non electric,41
496,2019,April,Longford,New Irish Registrations,Non electric,20
497,2019,May,Longford,New Irish Registrations,Non electric,16
498,2019,June,Longford,New Irish Registrations,Non electric,3
499,2019,July,Longford,New Irish Registrations,Non electric,87
500,2019,August,Longford,New Irish Registrations,Non electric,20
501,2019,September,Longford,New Irish Registrations,Non electric,8
502,2019,October,Longford,New Irish Registrations,Non electric,5
503,2019,January,Longford,Used Imports,Non electric,89
504,2019,February,Longford,Used Imports,Non electric,89
505,2019,March,Longford,Used Imports,Non electric,100
506,2019,April,Longford,Used Imports,Non electric,86
507,2019,May,Longford,Used Imports,Non electric,114
508,2019,June,Longford,Used Imports,Non electric,81
509,2019,July,Longford,Used Imports,Non electric,94
510,2019,August,Longford,Used Imports,Non electric,100
511,2019,September,Longford,Used Imports,Non electric,105
512,2019,October,Longford,Used Imports,Non electric,108
513,2019,January,Longford,New Irish Registrations,Electric,5
514,2019,February,Longford,New Irish Registrations,Electric,2
515,2019,March,Longford,New Irish Registrations,Electric,1
516,2019,April,Longford,New Irish Registrations,Electric,1
517,2019,May,Longford,New Irish Registrations,Electric,1
518,2019,July,Longford,New Irish Registrations,Electric,5
519,2019,August,Longford,New Irish Registrations,Electric,1
